_id,city,fed,humid,uuid,temp,country,age,datetime_received,sex,setting,species,path,model,manufacturer,id,datetime_recorded
6262cad77cdf33078982bd5a,,,,bb8187c2fdc7b12e,,,,2022-04-22 16:33:43.347,,,,/data/MozzWear/2022-04-22/2/r2022-04-22_02.12.23.636__v0.aac_u2022-04-22_16.33.43.347725.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-22 02:12:23.636
6262d3997cdf33078982bd5e,,,,f80817da5319729a,,,,2022-04-22 17:11:04.986,,,,/data/MozzWear/2022-04-21/20/r2022-04-21_20.07.32.123__v0.aac_u2022-04-22_17.11.04.986152.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-21 20:07:32.123
6262d4157cdf33078982bd60,,,,f80817da5319729a,,,,2022-04-22 17:13:09.188,,,,/data/MozzWear/2022-04-21/20/r2022-04-21_20.07.32.123__v1.aac_u2022-04-22_17.13.09.188623.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-21 20:07:32.123
6262d48d7cdf33078982bd62,,,,f80817da5319729a,,,,2022-04-22 17:15:09.088,,,,/data/MozzWear/2022-04-21/20/r2022-04-21_20.07.32.123__v2.aac_u2022-04-22_17.15.09.088989.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-21 20:07:32.123
6262d50e7cdf33078982bd64,,,,f80817da5319729a,,,,2022-04-22 17:17:18.660,,,,/data/MozzWear/2022-04-21/20/r2022-04-21_20.07.32.123__v3.aac_u2022-04-22_17.17.18.660524.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-21 20:07:32.123
6262d5607cdf33078982bd66,,,,f80817da5319729a,,,,2022-04-22 17:18:40.589,,,,/data/MozzWear/2022-04-21/20/r2022-04-21_20.07.32.123__v4.aac_u2022-04-22_17.18.40.589590.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-21 20:07:32.123
6262d5c67cdf33078982bd68,,,,f80817da5319729a,,,,2022-04-22 17:20:22.593,,,,/data/MozzWear/2022-04-21/20/r2022-04-21_20.07.32.123__v5.aac_u2022-04-22_17.20.22.593156.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-21 20:07:32.123
6262d61e7cdf33078982bd6a,,,,f80817da5319729a,,,,2022-04-22 17:21:50.122,,,,/data/MozzWear/2022-04-21/20/r2022-04-21_20.07.32.123__v6.aac_u2022-04-22_17.21.50.122737.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-21 20:07:32.123
6262d64b7cdf33078982bd6c,,,,bb8187c2fdc7b12e,,,,2022-04-22 17:22:35.784,,,,/data/MozzWear/2022-04-22/2/r2022-04-22_02.12.23.636__v1.aac_u2022-04-22_17.22.35.784833.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-22 02:12:23.636
6262d6727cdf33078982bd6e,,,,f80817da5319729a,,,,2022-04-22 17:23:14.693,,,,/data/MozzWear/2022-04-21/20/r2022-04-21_20.07.32.123__v7.aac_u2022-04-22_17.23.14.693155.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-21 20:07:32.123
6262d6d07cdf33078982bd70,,,,f80817da5319729a,,,,2022-04-22 17:24:48.732,,,,/data/MozzWear/2022-04-21/20/r2022-04-21_20.07.32.123__v8.aac_u2022-04-22_17.24.48.732982.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-21 20:07:32.123
6262d7257cdf33078982bd72,,,,f80817da5319729a,,,,2022-04-22 17:26:13.104,,,,/data/MozzWear/2022-04-21/20/r2022-04-21_20.07.32.123__v9.aac_u2022-04-22_17.26.13.104769.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-21 20:07:32.123
6262d75c7cdf33078982bd74,,,,f80817da5319729a,,,,2022-04-22 17:27:08.182,,,,/data/MozzWear/2022-04-21/20/r2022-04-21_20.07.32.123__v10.aac_u2022-04-22_17.27.08.182077.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-21 20:07:32.123
6262e7447cdf33078982bd8a,,,,bb8187c2fdc7b12e,,,,2022-04-22 18:35:00.511,,,,/data/MozzWear/2022-04-22/2/r2022-04-22_02.12.23.636__v2.aac_u2022-04-22_18.35.00.511704.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-22 02:12:23.636
6262e7587cdf33078982bd8c,,,,bb8187c2fdc7b12e,,,,2022-04-22 18:35:20.640,,,,/data/MozzWear/2022-04-22/2/r2022-04-22_02.12.23.636__v3.aac_u2022-04-22_18.35.20.640908.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-22 02:12:23.636
