_id,city,fed,humid,uuid,temp,country,age,datetime_received,sex,setting,species,path,model,manufacturer,id,datetime_recorded
626d2b837cdf3336e6db6697,,,,5b546bfad2e70911,,,,2022-04-30 13:28:51.307,,,,/data/MozzWear/2022-04-20/21/r2022-04-20_21.44.39.808__v0.aac_u2022-04-30_13.28.51.307746.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-20 21:44:39.808
626d2bec7cdf3336e6db66a5,,,,5b546bfad2e70911,,,,2022-04-30 13:30:36.837,,,,/data/MozzWear/2022-04-20/21/r2022-04-20_21.44.39.808__v1.aac_u2022-04-30_13.30.36.837277.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-20 21:44:39.808
626d2c477cdf3336e6db66a9,,,,5b546bfad2e70911,,,,2022-04-30 13:32:07.657,,,,/data/MozzWear/2022-04-20/21/r2022-04-20_21.44.39.808__v2.aac_u2022-04-30_13.32.07.657952.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-20 21:44:39.808
626d2c987cdf3336e6db66ad,,,,5b546bfad2e70911,,,,2022-04-30 13:33:27.907,,,,/data/MozzWear/2022-04-20/21/r2022-04-20_21.44.39.808__v3.aac_u2022-04-30_13.33.27.907946.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-20 21:44:39.808
626d2cdf7cdf3336e6db66af,,,,5b546bfad2e70911,,,,2022-04-30 13:34:39.728,,,,/data/MozzWear/2022-04-20/21/r2022-04-20_21.44.39.808__v4.aac_u2022-04-30_13.34.39.728335.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-20 21:44:39.808
626d2d377cdf3336e6db66b1,,,,5b546bfad2e70911,,,,2022-04-30 13:36:07.038,,,,/data/MozzWear/2022-04-20/21/r2022-04-20_21.44.39.808__v5.aac_u2022-04-30_13.36.07.038737.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-20 21:44:39.808
626d2d907cdf3336e6db66b3,,,,5b546bfad2e70911,,,,2022-04-30 13:37:36.707,,,,/data/MozzWear/2022-04-20/21/r2022-04-20_21.44.39.808__v6.aac_u2022-04-30_13.37.36.707781.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-20 21:44:39.808
626d2ddc7cdf3336e6db66b5,,,,5b546bfad2e70911,,,,2022-04-30 13:38:52.048,,,,/data/MozzWear/2022-04-20/21/r2022-04-20_21.44.39.808__v7.aac_u2022-04-30_13.38.52.048675.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-20 21:44:39.808
626d2e237cdf3336e6db66b7,,,,5b546bfad2e70911,,,,2022-04-30 13:40:03.568,,,,/data/MozzWear/2022-04-20/21/r2022-04-20_21.44.39.808__v8.aac_u2022-04-30_13.40.03.568813.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-20 21:44:39.808
626d2e307cdf3336e6db66b9,,,,5b546bfad2e70911,,,,2022-04-30 13:40:16.898,,,,/data/MozzWear/2022-04-20/21/r2022-04-20_21.44.39.808__v9.aac_u2022-04-30_13.40.16.898597.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-20 21:44:39.808
