_id,city,fed,humid,uuid,temp,country,age,datetime_received,sex,setting,species,path,model,manufacturer,id,datetime_recorded
62622ce77cdf333f028d44e4,,,,ecac867238c8031b,,,,2022-04-22 05:19:51.667,,,,/data/MozzWear/2022-04-21/21/r2022-04-21_21.01.29.828__v0.aac_u2022-04-22_05.19.51.667200.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-21 21:01:29.828
62622ce87cdf333f028d44e6,,,,ecac867238c8031b,,,,2022-04-22 05:19:52.246,,,,/data/MozzWear/2022-04-21/21/r2022-04-21_21.01.55.020__v0.aac_u2022-04-22_05.19.52.246907.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-21 21:01:55.020
62622ce97cdf333f028d44e8,,,,ecac867238c8031b,,,,2022-04-22 05:19:53.476,,,,/data/MozzWear/2022-04-21/21/r2022-04-21_21.03.08.137__v0.aac_u2022-04-22_05.19.53.476710.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-21 21:03:08.137
62622cea7cdf333f028d44ea,,,,ecac867238c8031b,,,,2022-04-22 05:19:54.026,,,,/data/MozzWear/2022-04-21/21/r2022-04-21_21.15.37.419__v0.aac_u2022-04-22_05.19.54.026354.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-21 21:15:37.419
62622d3b7cdf333f028d44ec,,,,ecac867238c8031b,,,,2022-04-22 05:21:15.247,,,,/data/MozzWear/2022-04-21/23/r2022-04-21_23.01.25.953__v0.aac_u2022-04-22_05.21.15.247827.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-21 23:01:25.953
62622d887cdf333f028d44ee,,,,ecac867238c8031b,,,,2022-04-22 05:22:32.767,,,,/data/MozzWear/2022-04-21/23/r2022-04-21_23.01.25.953__v1.aac_u2022-04-22_05.22.32.767566.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-21 23:01:25.953
62622dd67cdf333f028d44f0,,,,ecac867238c8031b,,,,2022-04-22 05:23:50.447,,,,/data/MozzWear/2022-04-21/23/r2022-04-21_23.01.25.953__v2.aac_u2022-04-22_05.23.50.447429.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-21 23:01:25.953
62622e237cdf333f028d44f4,,,,ecac867238c8031b,,,,2022-04-22 05:25:06.897,,,,/data/MozzWear/2022-04-21/23/r2022-04-21_23.01.25.953__v3.aac_u2022-04-22_05.25.06.897894.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-21 23:01:25.953
62622e6f7cdf333f028d44f6,,,,ecac867238c8031b,,,,2022-04-22 05:26:23.487,,,,/data/MozzWear/2022-04-21/23/r2022-04-21_23.01.25.953__v4.aac_u2022-04-22_05.26.23.487393.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-21 23:01:25.953
62622ec27cdf333f028d44f8,,,,ecac867238c8031b,,,,2022-04-22 05:27:46.676,,,,/data/MozzWear/2022-04-21/23/r2022-04-21_23.01.25.953__v5.aac_u2022-04-22_05.27.46.676935.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-21 23:01:25.953
62622f177cdf333f028d44fa,,,,ecac867238c8031b,,,,2022-04-22 05:29:11.626,,,,/data/MozzWear/2022-04-21/23/r2022-04-21_23.01.25.953__v6.aac_u2022-04-22_05.29.11.626542.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-21 23:01:25.953
62622f657cdf333f028d44fc,,,,ecac867238c8031b,,,,2022-04-22 05:30:29.786,,,,/data/MozzWear/2022-04-21/23/r2022-04-21_23.01.25.953__v7.aac_u2022-04-22_05.30.29.786743.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-21 23:01:25.953
626239887cdf333f028d4504,,,,0563bfc576f11f9d,,,,2022-04-22 06:13:44.887,,,,/data/MozzWear/2022-04-21/22/r2022-04-21_22.17.52.059__v0.aac_u2022-04-22_06.13.44.887440.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-21 22:17:52.059
626239897cdf333f028d4506,,,,0563bfc576f11f9d,,,,2022-04-22 06:13:45.836,,,,/data/MozzWear/2022-04-21/22/r2022-04-21_22.23.33.243__v0.aac_u2022-04-22_06.13.45.836667.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-21 22:23:33.243
626239d07cdf333f028d4508,,,,0563bfc576f11f9d,,,,2022-04-22 06:14:55.917,,,,/data/MozzWear/2022-04-21/22/r2022-04-21_22.24.11.901__v0.aac_u2022-04-22_06.14.55.917477.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-21 22:24:11.901
62623a157cdf333f028d450a,,,,0563bfc576f11f9d,,,,2022-04-22 06:16:05.388,,,,/data/MozzWear/2022-04-21/22/r2022-04-21_22.24.11.901__v1.aac_u2022-04-22_06.16.05.388099.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-21 22:24:11.901
62623a597cdf333f028d450e,,,,0563bfc576f11f9d,,,,2022-04-22 06:17:13.607,,,,/data/MozzWear/2022-04-21/22/r2022-04-21_22.24.11.901__v2.aac_u2022-04-22_06.17.13.607765.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-21 22:24:11.901
62623aa87cdf333f028d4512,,,,0563bfc576f11f9d,,,,2022-04-22 06:18:32.556,,,,/data/MozzWear/2022-04-21/22/r2022-04-21_22.24.11.901__v3.aac_u2022-04-22_06.18.32.556869.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-21 22:24:11.901
62623af77cdf333f028d4516,,,,0563bfc576f11f9d,,,,2022-04-22 06:19:51.675,,,,/data/MozzWear/2022-04-21/22/r2022-04-21_22.24.11.901__v4.aac_u2022-04-22_06.19.51.675718.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-21 22:24:11.901
62623b477cdf333f028d4518,,,,0563bfc576f11f9d,,,,2022-04-22 06:21:11.477,,,,/data/MozzWear/2022-04-21/22/r2022-04-21_22.24.11.901__v5.aac_u2022-04-22_06.21.11.477009.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-21 22:24:11.901
62623b977cdf333f028d451a,,,,0563bfc576f11f9d,,,,2022-04-22 06:22:31.567,,,,/data/MozzWear/2022-04-21/22/r2022-04-21_22.24.11.901__v6.aac_u2022-04-22_06.22.31.567436.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-21 22:24:11.901
62623be97cdf333f028d451e,,,,0563bfc576f11f9d,,,,2022-04-22 06:23:53.577,,,,/data/MozzWear/2022-04-21/22/r2022-04-21_22.24.11.901__v7.aac_u2022-04-22_06.23.53.577251.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-21 22:24:11.901
62623c0a7cdf333f028d4520,,,,0563bfc576f11f9d,,,,2022-04-22 06:24:26.237,,,,/data/MozzWear/2022-04-21/22/r2022-04-21_22.24.11.901__v8.aac_u2022-04-22_06.24.26.237755.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-21 22:24:11.901
62627d357cdf33078982bce6,,,,5c695ecf5f66565b,,,,2022-04-22 11:02:29.508,,,,/data/MozzWear/2022-04-22/13/r2022-04-22_13.02.01.129__v0.aac_u2022-04-22_11.02.29.508488.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-22 13:02:01.129
626b7a287cdf336f63aec3cb,,,,3a127f6dd18261b3,,,,2022-04-29 06:39:52.175,,,,/data/MozzWear/2022-04-22/10/r2022-04-22_10.43.45.229__v0.aac_u2022-04-29_06.39.52.175141.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-22 10:43:45.229
626b7a287cdf336f63aec3cd,,,,3a127f6dd18261b3,,,,2022-04-29 06:39:52.834,,,,/data/MozzWear/2022-04-22/20/r2022-04-22_20.12.07.026__v0.aac_u2022-04-29_06.39.52.834657.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-22 20:12:07.026
626b7a2a7cdf336f63aec3cf,,,,3a127f6dd18261b3,,,,2022-04-29 06:39:54.303,,,,/data/MozzWear/2022-04-22/21/r2022-04-22_21.00.53.094__v0.aac_u2022-04-29_06.39.54.303537.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-22 21:00:53.094
626b7a6e7cdf336f63aec3d1,,,,3a127f6dd18261b3,,,,2022-04-29 06:41:02.795,,,,/data/MozzWear/2022-04-22/21/r2022-04-22_21.03.10.807__v0.aac_u2022-04-29_06.41.02.795532.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-22 21:03:10.807
626b7ab57cdf336f63aec3d3,,,,3a127f6dd18261b3,,,,2022-04-29 06:42:13.115,,,,/data/MozzWear/2022-04-22/21/r2022-04-22_21.03.10.807__v1.aac_u2022-04-29_06.42.13.115444.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-22 21:03:10.807
626b7afe7cdf336f63aec3d5,,,,3a127f6dd18261b3,,,,2022-04-29 06:43:25.995,,,,/data/MozzWear/2022-04-22/21/r2022-04-22_21.03.10.807__v2.aac_u2022-04-29_06.43.25.995463.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-22 21:03:10.807
626b7b477cdf336f63aec3d7,,,,3a127f6dd18261b3,,,,2022-04-29 06:44:38.874,,,,/data/MozzWear/2022-04-22/21/r2022-04-22_21.03.10.807__v3.aac_u2022-04-29_06.44.38.874831.aac,itel A16 Plus,ITEL MOBILE LIMITED,,2022-04-22 21:03:10.807
