_id,city,fed,humid,uuid,temp,country,age,datetime_received,sex,setting,species,path,model,manufacturer,id,datetime_recorded
62c39df07cdf3327290bbbaf,Bandundu,0,0,bf7aeb7b55e80e01,0,République démocratique du Congo,0,2022-07-05 03:12:00.298,0,0,0,/data/MozzWear/2022-07-04/17/r2022-07-04_17.20.31.003__v0.aac_u2022-07-05_03.12.00.298159.aac,itel A509W,itel,69,2022-07-04 17:20:31.003
62c39df57cdf3327290bbbb1,BANDUNDU,0,0,bf7aeb7b55e80e01,0,DRC,0,2022-07-05 03:12:05.924,0,0,0,/data/MozzWear/2022-07-04/17/r2022-07-04_17.22.51.950__v0.aac_u2022-07-05_03.12.05.924350.aac,itel A509W,itel,69,2022-07-04 17:22:51.950
62c39e117cdf3327290bbbb3,BANDUNDU,0,0,bf7aeb7b55e80e01,0,DRC,0,2022-07-05 03:12:33.415,0,0,0,/data/MozzWear/2022-07-04/17/r2022-07-04_17.32.33.023__v0.aac_u2022-07-05_03.12.33.415941.aac,itel A509W,itel,69,2022-07-04 17:32:33.023
62c39e137cdf3327290bbbb5,BANDUNDU,,,bf7aeb7b55e80e01,,DRC,,2022-07-05 03:12:35.867,,,,/data/MozzWear/2022-07-04/17/r2022-07-04_17.42.37.091__v0.aac_u2022-07-05_03.12.35.867505.aac,itel A509W,itel,,2022-07-04 17:42:37.091
62c39e167cdf3327290bbbb7,BANDUNDU,0,0,bf7aeb7b55e80e01,0,DRC,0,2022-07-05 03:12:38.895,0,0,0,/data/MozzWear/2022-07-04/17/r2022-07-04_17.49.40.248__v0.aac_u2022-07-05_03.12.38.895041.aac,itel A509W,itel,69,2022-07-04 17:49:40.248
62c3c37b7cdf3327290bbbe7,BANDUNDU,,,5d675cfb0a344e0a,,DRC,,2022-07-05 05:52:10.997,,0,,/data/MozzWear/2022-07-04/18/r2022-07-04_18.28.13.142__v0.aac_u2022-07-05_05.52.10.997347.aac,itel A509W,itel,,2022-07-04 18:28:13.142
62c3c3c27cdf3327290bbbe9,BANDUNDU,,,5d675cfb0a344e0a,,DRC,,2022-07-05 05:53:22.657,,0,,/data/MozzWear/2022-07-04/18/r2022-07-04_18.35.22.610__v0.aac_u2022-07-05_05.53.22.657440.aac,itel A509W,itel,,2022-07-04 18:35:22.610
62c3c5a67cdf3327290bbc05,BANDUNDU,,0,d7668f520e755fe4,0,DRC,0,2022-07-05 06:01:26.116,0,0,0,/data/MozzWear/2022-07-04/18/r2022-07-04_18.34.00.406__v0.aac_u2022-07-05_06.01.26.116917.aac,itel A509W,itel,58,2022-07-04 18:34:00.406
62c3c6387cdf3327290bbc11,,,,d7668f520e755fe4,,,,2022-07-05 06:03:52.077,,,,/data/MozzWear/2022-07-04/19/r2022-07-04_19.34.38.474__v1.aac_u2022-07-05_06.03.52.077827.aac,itel A509W,itel,,2022-07-04 19:34:38.474
62c3c64d7cdf3327290bbc13,,,,bf7aeb7b55e80e01,,,,2022-07-05 06:04:13.681,,,,/data/MozzWear/2022-07-05/3/r2022-07-05_03.59.24.585__v10.aac_u2022-07-05_06.04.13.681573.aac,itel A509W,itel,,2022-07-05 03:59:24.585
62c3c6d17cdf3327290bbc23,,,,bf7aeb7b55e80e01,,,,2022-07-05 06:06:25.768,,,,/data/MozzWear/2022-07-05/4/r2022-07-05_04.59.24.629__v11.aac_u2022-07-05_06.06.25.768993.aac,itel A509W,itel,,2022-07-05 04:59:24.629
62c3c6d57cdf3327290bbc25,,,,bf7aeb7b55e80e01,,,,2022-07-05 06:06:29.115,,,,/data/MozzWear/2022-07-05/5/r2022-07-05_05.59.24.546__v12.aac_u2022-07-05_06.06.29.115140.aac,itel A509W,itel,,2022-07-05 05:59:24.546
62c3c7187cdf3327290bbc27,BANDUNDU,0,0,62ee991ac2d07ecf,0,DRC,0,2022-07-05 06:07:36.059,0,0,0,/data/MozzWear/2022-07-04/18/r2022-07-04_18.29.01.432__v0.aac_u2022-07-05_06.07.36.059614.aac,itel A509W,itel,66,2022-07-04 18:29:01.432
62c3c7fa7cdf3327290bbc2b,,,,62ee991ac2d07ecf,,,,2022-07-05 06:11:22.783,,,,/data/MozzWear/2022-07-04/19/r2022-07-04_19.30.11.171__v1.aac_u2022-07-05_06.11.22.783768.aac,itel A509W,itel,,2022-07-04 19:30:11.171
62c3c8227cdf3327290bbc2f,BANDUNDU,0,0,da8aca2912d9e3fe,0,DRC,0,2022-07-05 06:12:02.584,0,0,0,/data/MozzWear/2022-07-04/18/r2022-07-04_18.13.45.236__v0.aac_u2022-07-05_06.12.02.584418.aac,itel A509W,itel,73,2022-07-04 18:13:45.236
62c3c85b7cdf3327290bbc35,Bandundu,,,7e8e7774e7eebbcf,,dem.rep.of Congo,,2022-07-05 06:12:59.434,,,,/data/MozzWear/2022-07-04/18/r2022-07-04_18.24.16.409__v0.aac_u2022-07-05_06.12.59.434995.aac,itel A509W,itel,,2022-07-04 18:24:16.409
62c3c85d7cdf3327290bbc37,Bandundu,0,0,7e8e7774e7eebbcf,0,dem.rep.of Congo,0,2022-07-05 06:13:01.905,0,0,0,/data/MozzWear/2022-07-04/18/r2022-07-04_18.24.21.152__v0.aac_u2022-07-05_06.13.01.905533.aac,itel A509W,itel,74,2022-07-04 18:24:21.152
62c3c89e7cdf3327290bbc3b,BANDUNDU,0,0,25309b3dd7cf019e,0,DRC,0,2022-07-05 06:14:06.074,M,,0,/data/MozzWear/2022-07-03/19/r2022-07-03_19.47.12.625__v0.aac_u2022-07-05_06.14.06.074812.aac,itel A509W,itel,59,2022-07-03 19:47:12.625
62c3c8b27cdf3327290bbc3d,,,,62ee991ac2d07ecf,,,,2022-07-05 06:14:26.379,,,,/data/MozzWear/2022-07-04/20/r2022-07-04_20.30.10.911__v2.aac_u2022-07-05_06.14.26.379674.aac,itel A509W,itel,,2022-07-04 20:30:10.911
62c3c8b77cdf3327290bbc3f,BANDUNDU,0,0,25309b3dd7cf019e,0,DRC,0,2022-07-05 06:14:31.852,M,,0,/data/MozzWear/2022-07-04/11/r2022-07-04_11.15.57.232__v0.aac_u2022-07-05_06.14.31.852982.aac,itel A509W,itel,59,2022-07-04 11:15:57.232
62c3c8dc7cdf3327290bbc41,,,,da8aca2912d9e3fe,,,,2022-07-05 06:15:08.095,,,,/data/MozzWear/2022-07-04/19/r2022-07-04_19.20.16.574__v1.aac_u2022-07-05_06.15.08.095323.aac,itel A509W,itel,,2022-07-04 19:20:16.574
