_id,city,fed,humid,uuid,temp,country,age,datetime_received,sex,setting,species,path,model,manufacturer,id,datetime_recorded
62c3b1537cdf3327290bbbb9,BANDUNDU,0,0,a0e9cfa743eec0cc,0,DRC,0,2022-07-05 04:34:43.844,0,0,0,/data/MozzWear/2022-07-04/18/r2022-07-04_18.57.52.234__v0.aac_u2022-07-05_04.34.43.844061.aac,itel A509W,itel,19,2022-07-04 18:57:52.234
62c3b9fc7cdf3327290bbbbb,BANDUDU,0,0,5fc138c5153333c2,0,DRC,0,2022-07-05 05:11:40.678,0,0,0,/data/MozzWear/2022-07-04/18/r2022-07-04_18.06.41.730__v0.aac_u2022-07-05_05.11.40.678371.aac,itel A509W,itel,13,2022-07-04 18:06:41.730
62c3ba277cdf3327290bbbbd,,,,5fc138c5153333c2,,,,2022-07-05 05:12:22.838,,,,/data/MozzWear/2022-07-04/19/r2022-07-04_19.07.13.903__v1.aac_u2022-07-05_05.12.22.838530.aac,itel A509W,itel,,2022-07-04 19:07:13.903
62c3ba547cdf3327290bbbbf,,,,5fc138c5153333c2,,,,2022-07-05 05:13:08.836,,,,/data/MozzWear/2022-07-04/20/r2022-07-04_20.07.13.141__v2.aac_u2022-07-05_05.13.08.836023.aac,itel A509W,itel,,2022-07-04 20:07:13.141
62c3ba697cdf3327290bbbc1,,,,5fc138c5153333c2,,,,2022-07-05 05:13:29.166,,,,/data/MozzWear/2022-07-04/21/r2022-07-04_21.07.13.111__v3.aac_u2022-07-05_05.13.29.166294.aac,itel A509W,itel,,2022-07-04 21:07:13.111
62c3ba7a7cdf3327290bbbc3,,,,5fc138c5153333c2,,,,2022-07-05 05:13:46.786,,,,/data/MozzWear/2022-07-04/22/r2022-07-04_22.07.13.157__v4.aac_u2022-07-05_05.13.46.786372.aac,itel A509W,itel,,2022-07-04 22:07:13.157
62c3ba8c7cdf3327290bbbc5,,,,5fc138c5153333c2,,,,2022-07-05 05:14:04.381,,,,/data/MozzWear/2022-07-04/23/r2022-07-04_23.07.13.167__v5.aac_u2022-07-05_05.14.04.381937.aac,itel A509W,itel,,2022-07-04 23:07:13.167
62c3ba9f7cdf3327290bbbc7,,,,5fc138c5153333c2,,,,2022-07-05 05:14:23.373,,,,/data/MozzWear/2022-07-05/0/r2022-07-05_00.07.13.117__v6.aac_u2022-07-05_05.14.23.373363.aac,itel A509W,itel,,2022-07-05 00:07:13.117
62c3bab27cdf3327290bbbc9,,,,5fc138c5153333c2,,,,2022-07-05 05:14:42.163,,,,/data/MozzWear/2022-07-05/1/r2022-07-05_01.07.13.131__v7.aac_u2022-07-05_05.14.42.163964.aac,itel A509W,itel,,2022-07-05 01:07:13.131
62c3bac47cdf3327290bbbcb,,,,5fc138c5153333c2,,,,2022-07-05 05:15:00.444,,,,/data/MozzWear/2022-07-05/2/r2022-07-05_02.07.13.167__v8.aac_u2022-07-05_05.15.00.444682.aac,itel A509W,itel,,2022-07-05 02:07:13.167
62c3bad77cdf3327290bbbcd,,,,5fc138c5153333c2,,,,2022-07-05 05:15:19.078,,,,/data/MozzWear/2022-07-05/3/r2022-07-05_03.07.13.121__v9.aac_u2022-07-05_05.15.19.078380.aac,itel A509W,itel,,2022-07-05 03:07:13.121
62c3bae97cdf3327290bbbcf,,,,5fc138c5153333c2,,,,2022-07-05 05:15:37.355,,,,/data/MozzWear/2022-07-05/4/r2022-07-05_04.07.13.109__v10.aac_u2022-07-05_05.15.37.355752.aac,itel A509W,itel,,2022-07-05 04:07:13.109
62c3baea7cdf3327290bbbd1,,,,5fc138c5153333c2,,,,2022-07-05 05:15:38.665,,,,/data/MozzWear/2022-07-05/5/r2022-07-05_05.07.13.162__v11.aac_u2022-07-05_05.15.38.665513.aac,itel A509W,itel,,2022-07-05 05:07:13.162
62c3c2847cdf3327290bbbd5,BANDUNDU,0,0,a067f65c04d5ed19,0,DRC,0,2022-07-05 05:48:04.718,0,0,0,/data/MozzWear/2022-07-03/18/r2022-07-03_18.19.55.737__v0.aac_u2022-07-05_05.48.04.718929.aac,itel A509W,itel,2,2022-07-03 18:19:55.737
62c3c28e7cdf3327290bbbd7,BANDUNDU,0,0,a067f65c04d5ed19,0,DRC,0,2022-07-05 05:48:14.048,0,0,0,/data/MozzWear/2022-07-03/19/r2022-07-03_19.39.25.091__v0.aac_u2022-07-05_05.48.14.048323.aac,itel A509W,itel,2,2022-07-03 19:39:25.091
62c3c35c7cdf3327290bbbe3,BANDUNDU,0,0,f1e9a5f94e824436,0,DRC,0,2022-07-05 05:51:40.053,0,0,0,/data/MozzWear/2022-06-30/18/r2022-06-30_18.21.51.597__v0.aac_u2022-07-05_05.51.40.053985.aac,itel A509W,itel,35,2022-06-30 18:21:51.597
62c3c3657cdf3327290bbbe5,,,,f1e9a5f94e824436,,,,2022-07-05 05:51:49.054,,,,/data/MozzWear/2022-06-30/19/r2022-06-30_19.23.00.522__v1.aac_u2022-07-05_05.51.49.054864.aac,itel A509W,itel,,2022-06-30 19:23:00.522
62c3c6a47cdf3327290bbc1d,BANDUNDU,0,0,2ce39e7862cb0e51,0,DRC,0,2022-07-05 06:05:40.505,0,0,0,/data/MozzWear/2022-07-04/18/r2022-07-04_18.06.53.053__v0.aac_u2022-07-05_06.05.40.505394.aac,itel A509W,itel,8,2022-07-04 18:06:53.053
62c3c6bb7cdf3327290bbc21,BANDUNDU,0,0,37fbb17ef5545621,0,DRC,0,2022-07-05 06:06:03.493,0,0,0,/data/MozzWear/2022-07-01/19/r2022-07-01_19.58.06.323__v0.aac_u2022-07-05_06.06.03.493698.aac,itel A509W,itel,10,2022-07-01 19:58:06.323
62c3c7757cdf3327290bbc29,BANDUNDU,0,0,3b549f0dc93dffbd,0,DRC,0,2022-07-05 06:09:09.005,0,0,0,/data/MozzWear/2022-07-04/18/r2022-07-04_18.06.11.309__v0.aac_u2022-07-05_06.09.09.005659.aac,itel A509W,itel,9,2022-07-04 18:06:11.309
